annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2023;800010102;Centre Ville-Saint-Vulfran;39;;RUE;LESUEUR;39 RUE LESUEUR;1;12.289;TERTIAIRE;ENT;65;80001;Abbeville;200070993;80;32;184
2021;800030000;Acheux-en-Amiénois (commune non irisée);37;;RUE;RAYMOND DE WAZIERES;37 RUE RAYMOND DE WAZIERES;1;72.382;TERTIAIRE;ENT;88;80003;Acheux-en-Amiénois;248000747;80;32;184
2024;800010102;Centre Ville-Saint-Vulfran;26;;PLACE;MAX LEJEUNE;26 PLACE MAX LEJEUNE;1;137.051;INDUSTRIE;ENT;10;80001;Abbeville;200070993;80;32;184
2022;800010503;Ponthieu-Bagatelle;;;;L E   B U R E A U;L E B U R E A U;1;250.938;TERTIAIRE;ENT;56;80001;Abbeville;200070993;80;32;184
2022;800010501;La Porte au Bois;7;;RUE;MACQUERON;7 RUE MACQUERON;1;51.817;TERTIAIRE;ENT;93;80001;Abbeville;200070993;80;32;185
2024;800010101;Centre Ville Émonville;23;;PLACE;MAX LEJEUNE;23 PLACE MAX LEJEUNE;1;19.402;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;185
2023;800010501;La Porte au Bois;7;;RUE;MACQUERON;7 RUE MACQUERON;1;43.313;TERTIAIRE;ENT;93;80001;Abbeville;200070993;80;32;185
2021;620030000;Acheville (commune non irisée);1;;RUE;ROGER MARECHAL;1 RUE ROGER MARECHAL;1;74.91;INDUSTRIE;ENT;10;62003;Acheville;246200364;62;32;185
2022;800010101;Centre Ville Émonville;84;;CHAUSSEE;MARCADE;84 CHAUSSEE MARCADE;1;106.814;TERTIAIRE;ENT;68;80001;Abbeville;200070993;80;32;186
2024;800010102;Centre Ville-Saint-Vulfran;13;;PLACE;MAX LEJEUNE;13 PLACE MAX LEJEUNE;1;41.391;TERTIAIRE;ENT;47;80001;Abbeville;200070993;80;32;186
2023;800010501;La Porte au Bois;6;;RUE;MACQUERON;6 RUE MACQUERON;1;1.115;TERTIAIRE;ENT;45;80001;Abbeville;200070993;80;32;186
2021;620040103;Est;56;;ROUTE;DE BAPAUME;56 ROUTE DE BAPAUME;1;148.299;TERTIAIRE;ENT;56;62004;Achicourt;200033579;62;32;186
